,CAD_INCIDENT_ID,INITIAL_CALL_TYPE,INITIAL_SEVERITY_LEVEL_CODE,INCIDENT_RESPONSE_SECONDS_QY,TIME
83,130160734,INJMIN,7,"2,076",201316
84,130161484,INJURY,5,973,201316
85,130162230,STAB,3,238,201316
86,130162978,CVA,4,524,201316
87,130163735,INJURY,5,291,201316
88,130170506,INBLED,3,384,201317
89,130171262,SICK,6,276,201317
90,130172025,CARD,3,723,201317
91,130172787,SICK,6,339,201317
92,130173550,DIFFBR,2,239,201317
93,130180417,INBLED,3,555,201318
94,130181199,ABDPN,5,432,201318
95,130181944,EDP,7,826,201318
96,130182717,MVAINJ,4,"2,104",201318
97,130183470,UNKNOW,4,918,201318
98,130190303,STNDBY,8,"16,094",201319
99,130191073,OBLAB,5,601,201319
100,130191841,SICK,6,553,201319
101,130192604,ABDPN,5,575,201319
102,130193352,UNKNOW,4,754,201319
103,130200407,UNKNOW,4,165,201320
104,130201165,UNC,2,403,201320
105,130201911,PEDSTR,3,188,201320
106,130202675,PEDSTR,3,309,201320
107,130203428,INJURY,5,385,201320
108,130210681,DRUG,4,514,201321
109,130211415,INJURY,5,104,201321
110,130212170,PEDSTR,3,462,201321
111,130212913,DIFFBR,2,406,201321
112,130220263,DRUG,4,224,201322
113,130221025,ASTHMB,2,392,201322
114,130221780,OBCOMP,2,322,201322
115,130222551,ABDPN,5,302,201322
116,130223316,INJURY,5,959,201322
117,130230320,CARD,3,371,201323
118,130231089,INJURY,5,458,201323
119,130231827,UNC,2,394,201323
120,130232583,DIFFBR,2,405,201323
121,130233356,SEIZR,3,250,201323
122,130240618,RESPIR,4,267,201324
123,130241362,SICK,6,754,201324
124,130242134,ARREST,1,249,201324
125,130242879,SICK,6,628,201324
126,130243657,PEDSTR,3,298,201324
127,130250750,INJURY,5,438,201325
128,130251498,SICK,6,319,201325
129,130252258,UNC,2,520,201325
130,130253018,UNKNOW,4,537,201325
131,130253772,OBMIS,4,464,201325
132,130260714,OBLAB,5,"1,715",201326
133,130261468,ABDPN,5,503,201326
134,130262237,SICK,6,633,201326
135,130262976,DIFFBR,2,888,201326
136,130270134,UNC,2,346,201327
137,130270903,SICK,6,157,201327
138,130271655,EDP,7,551,201327
139,130272418,INJURY,4,643,201327
140,130273174,EDP,7,0,201327
141,130280409,ABDPN,5,208,201328
142,130281177,DIFFBR,2,346,201328
143,130281924,DIFFBR,2,524,201328
144,130282683,DIFFBR,2,436,201328
145,130283437,ASTHMB,2,386,201328
146,130290284,ANAPH,2,357,201329
147,130291040,PEDSTR,3,281,201329
148,130291796,EDP,7,712,201329
149,130292560,PEDSTR,3,,201329
150,130293333,SICK,6,403,201329
151,130300124,UNKNOW,4,548,201330
152,130300880,CARD,3,492,201330
153,130301611,ABDPN,5,252,201330
154,130302380,OBLAB,5,702,201330
155,130303139,ABDPN,5,391,201330
156,130310048,ALTMEN,3,415,201331
157,130310818,SICK,6,421,201331
158,130311558,ARREST,1,568,201331
159,130312334,EDP,7,"1,034",201331
160,130313099,MVAINJ,4,570,201331
161,130320037,UNKNOW,4,659,201301
162,130320785,INJURY,5,"1,015",201301
163,130321514,PEDSTR,3,270,201301
164,130322278,INJURY,5,397,201301
165,130323033,EDP,7,628,201301
166,130323790,UNC,2,506,201301
167,130330699,DIFFBR,2,270,201302
168,130331451,SICK,6,287,201302
169,130332202,SICK,6,380,201302
170,130332959,DRUG,4,408,201302
171,130333715,UNKNOW,4,319,201302
172,130340692,ABDPN,5,256,201303
173,130341445,DRUG,4,309,201303
174,130342199,DIFFBR,2,268,201303
175,130342938,DRUG,4,348,201303
176,130350251,CARD,3,265,201304
177,130351015,INJURY,5,542,201304
178,130351758,RESPIR,4,"1,161",201304
179,130352546,INJURY,5,416,201304
180,130353299,SICPED,4,405,201304
181,130360047,UNC,2,240,201305
182,130360804,SICK,6,581,201305
183,130361553,SICK,6,486,201305
184,130362332,PEDSTR,3,355,201305
185,130363104,EDP,7,880,201305
186,130363861,INJURY,5,292,201305
187,130370721,INJURY,5,677,201306
188,130371460,INJURY,5,385,201306
189,130372220,SICK,6,110,201306
190,130372965,EDP,7,862,201306
191,130373724,INBLED,3,160,201306
192,130380685,SICK,6,381,201307
193,130381444,INJURY,5,386,201307
194,130382207,SICPED,4,465,201307
195,130382964,INJURY,5,432,201307
196,130383711,DRUG,4,597,201307
197,130390648,UNC,2,268,201308
198,130391388,MVAINJ,4,354,201308
199,130392148,ASTHMB,2,480,201308
200,130392894,CARD,3,418,201308
201,130400068,INJURY,5,435,201309
202,130400851,INJURY,5,671,201309
203,130401598,INJURY,5,968,201309
204,130402368,CARD,3,447,201309
205,130403120,INJURY,5,530,201309
206,130410272,UNKNOW,4,364,201310
207,130411038,GYNMAJ,3,462,201310
208,130411781,ALTMEN,3,459,201310
209,130412546,INJMIN,7,588,201310
210,130413325,ALTMEN,3,313,201310
211,130420499,SICK,6,453,201311
212,130421259,SICK,6,594,201311
213,130422014,DRUG,4,663,201311
214,130422779,RESPIR,4,404,201311
215,130423526,EDP,7,551,201311
216,130430017,DRUG,4,738,201312
217,130430767,UNKNOW,4,886,201312
218,130431521,SICPED,4,"2,045",201312
219,130432285,UNKNOW,4,768,201312
220,130433059,EDP,7,"1,196",201312
221,130433831,SEIZR,3,603,201312
222,130440727,CARD,3,558,201313
223,130441488,OBLAB,5,436,201313
224,130442253,SICK,6,416,201313
225,130443013,MVAINJ,4,"1,064",201313
226,130443774,ASTHMB,2,399,201313
227,130450668,PEDSTR,3,212,201314
228,130451406,INJURY,5,658,201314
229,130452162,SICK,6,676,201314
230,130452908,ABDPN,5,640,201314
231,130453672,OBLAB,5,189,201314
232,130460544,DRUG,4,255,201315
233,130461300,UNC,2,192,201315
234,130462051,SICK,6,735,201315
235,130462816,INJURY,5,888,201315
236,130463581,SICK,6,567,201315
237,130470259,SICK,6,414,201316
238,130471028,INJURY,4,222,201316
239,130471771,SICK,6,268,201316
240,130472529,OTHER,6,526,201316
241,130473282,SICK,6,385,201316
242,130480535,ALTMEN,3,372,201317
243,130481302,EDP,7,72,201317
244,130482069,DIFFBR,2,397,201317
245,130482818,SICK,6,441,201317
246,130490152,SICK,6,291,201318
247,130490898,CVA,4,200,201318
248,130491650,MVAINJ,4,277,201318
249,130492411,UNKNOW,4,354,201318
250,130493158,ANAPH,2,458,201318
251,130500540,DIFFBR,2,599,201319
252,130501295,OBCOMP,2,223,201319
253,130502043,ABDPN,5,"1,347",201319
254,130502812,ALTMEN,3,432,201319
255,130503558,DIFFBR,2,380,201319
256,130510679,MVAINJ,4,745,201320
257,130511421,ABDPN,5,"1,417",201320
258,130512165,UNKNOW,4,312,201320
259,130512921,INJURY,4,733,201320
260,130520044,DRUG,4,695,201321
261,130520832,SICK,6,382,201321
262,130521579,SICK,6,554,201321
263,130522340,SEIZR,3,135,201321
264,130523085,EDP,7,561,201321
265,130530357,INJURY,5,638,201322
266,130531113,SICK,6,569,201322
267,130531870,SICK,6,837,201322
268,130532627,INJURY,5,786,201322
269,130533396,OBCOMP,2,343,201322
270,130540455,INJMIN,7,745,201323
271,130541210,CARD,3,239,201323
272,130541971,ABDPN,5,"1,134",201323
273,130542732,CARD,3,128,201323
274,130543489,RESPIR,4,638,201323
275,130550754,INJURY,5,331,201324
276,130551505,SICK,6,356,201324
277,130552250,DIFFBR,2,216,201324
278,130553005,CARD,3,659,201324
279,130560332,ABDPN,5,314,201325
280,130561070,CARD,3,271,201325
281,130561819,ASTHMB,2,358,201325
282,130562591,EDP,7,"1,452",201325
283,130563340,DRUG,4,353,201325
284,130570298,STAB,3,219,201326
285,130571070,UNC,2,663,201326
286,130571804,UNKNOW,4,460,201326
287,130572577,INJURY,5,760,201326
288,130573317,CVA,4,390,201326
289,130580349,DIFFBR,2,295,201327
290,130581119,ABDPN,5,551,201327
291,130581872,SICK,6,225,201327
292,130582634,DIFFBR,2,185,201327
293,130583388,GYNMAJ,3,138,201327
294,130590560,SICK,6,719,201328
295,130591313,UNKNOW,4,407,201328
296,130592085,CVAC,2,235,201328
297,130592845,SEIZR,3,498,201328
298,130593603,DIFFBR,2,448,201328
299,130600598,EDP,7,324,201301
300,130601351,SICK,6,384,201301
301,130602108,OTHER,6,"1,526",201301
302,130602852,INJURY,5,271,201301
303,130603588,DRUG,4,"1,880",201301
304,130610436,RAPE,6,462,201302
305,130611209,STATEP,2,302,201302
306,130611955,SICK,6,378,201302
307,130612708,SICK,6,428,201302
308,130613466,OTHER,6,585,201302
309,130620512,DRUG,4,440,201303
310,130621304,ASTHMB,3,565,201303
311,130622073,OBLAB,5,"2,113",201303
312,130622822,DIFFBR,2,217,201303
313,130623574,ABDPN,5,533,201303
314,130630723,STATEP,2,454,201304
315,130631470,DRUG,4,737,201304
316,130632224,EDP,7,"2,389",201304
317,130632969,PEDSTR,3,494,201304
318,130633726,SICK,6,368,201304
319,130640707,SICK,6,417,201305
320,130641446,SICK,6,556,201305
321,130642205,EDP,7,"1,126",201305
322,130642971,INJURY,5,506,201305
323,130643714,CVAC,2,615,201305
324,130650542,ABDPN,5,353,201306
325,130651291,EDP,7,444,201306
326,130652039,DIFFBR,2,900,201306
327,130652788,EDP,7,,201306
328,130653535,ABDPN,5,587,201306
329,130660682,SICPED,4,498,201307
330,130661430,STATEP,2,346,201307
331,130662194,DIFFBR,2,396,201307
332,130662947,ASTHMB,2,,201307
333,130670159,EDP,7,324,201308
334,130670971,INJURY,5,514,201308
335,130671721,OBCOMP,2,428,201308
336,130672484,SICMIN,7,491,201308
337,130673238,SICK,6,424,201308
338,130680224,EDP,7,602,201309
339,130680995,INJMIN,7,885,201309
340,130681756,SICK,6,597,201309
341,130682532,INBLED,3,221,201309
342,130683293,DIFFBR,2,496,201309
343,130690170,CARD,3,211,201310
344,130690951,INJURY,5,403,201310
345,130691700,INJURY,5,,201310
346,130692458,STATEP,2,482,201310
347,130693213,STATEP,2,410,201310
348,130700449,INJURY,5,620,201311
349,130701204,UNKNOW,4,291,201311
350,130701955,ABDPN,5,"1,820",201311
351,130702716,DIFFBR,2,227,201311
352,130703468,EDP,7,733,201311
353,130710233,DIFFBR,2,331,201312
354,130711003,ABDPN,5,308,201312
355,130711756,ABDPN,5,"1,408",201312
356,130712519,UNC,2,571,201312
357,130713281,DRUG,4,226,201312
358,130720370,DRUG,4,296,201313
359,130721116,ASTHMB,2,663,201313
360,130721866,DIFFBR,2,403,201313
361,130722632,ABDPN,5,"1,390",201313
362,130723399,EDP,7,369,201313
363,130730236,CARD,3,234,201314
364,130731000,SICK,6,164,201314
365,130731742,DRUG,4,652,201314
366,130732511,DIFFBR,2,257,201314
367,130733271,UNKNOW,4,682,201314
368,130740368,CARD,3,278,201315
369,130741141,DIFFBR,2,254,201315
370,130741882,INBLED,3,267,201315
371,130742649,INJURY,5,609,201315
372,130743409,SICK,6,497,201315
373,130750221,DIFFBR,2,480,201316
374,130751012,DIFFBR,2,485,201316
375,130751762,INJURY,5,364,201316
376,130752540,SICK,6,665,201316
377,130753305,INJURY,5,208,201316
378,130760196,ABDPN,5,664,201317
379,130760984,EDP,7,418,201317
380,130761738,SICK,6,696,201317
381,130762504,ABDPN,5,236,201317
382,130763266,OTHER,6,500,201317
383,130770532,OBLAB,5,381,201318
384,130771267,SICPED,4,610,201318
385,130772012,INJURY,5,"2,615",201318
386,130772781,ABDPN,5,710,201318
387,130773549,CVAC,2,582,201318
388,130780434,ALTMEN,3,251,201319
389,130781194,UNKNOW,4,"1,098",201319
390,130781961,EDP,7,770,201319
391,130782722,DIFFBR,2,830,201319
392,130783483,INJURY,5,208,201319
393,130790640,SICK,6,438,201320
394,130791388,CARD,3,509,201320
395,130792150,DRUG,4,897,201320
396,130792894,SICK,6,,201320
397,130793639,DRUG,4,630,201320
398,130800593,INJURY,5,443,201321
399,130801330,DIFFBR,2,215,201321
400,130802090,MVAINJ,4,334,201321
401,130802855,DIFFBR,2,381,201321
402,130803623,CVA,4,415,201321
403,130810610,SICK,6,511,201322
404,130811350,EDP,7,278,201322
405,130812135,EDP,7,,201322
406,130812892,SICK,6,472,201322
407,130813640,UNC,2,306,201322
408,130820620,UNC,2,289,201323
409,130821372,ABDPN,5,332,201323
410,130822148,SICMIN,7,879,201323
411,130822904,INJURY,5,67,201323
412,130830176,DRUG,4,"1,240",201324
413,130830937,SICK,6,464,201324
414,130831684,ABDPN,5,457,201324
415,130832462,MVAINJ,4,329,201324
416,130833214,SICK,6,415,201324
417,130840451,INJURY,5,297,201325
418,130841212,INJURY,5,513,201325
419,130841959,ALTMEN,3,553,201325
420,130842725,INJURY,5,442,201325
421,130843478,ABDPN,5,583,201325
422,130850537,SICK,6,319,201326
423,130851292,CARD,3,399,201326
424,130852067,DRUG,4,"1,802",201326
425,130852835,INJURY,5,428,201326
426,130860062,EDP,7,867,201327
427,130860820,INJURY,5,611,201327
428,130861571,DRUG,4,464,201327
429,130862325,PEDSTR,3,197,201327
430,130863068,OTHER,6,478,201327
431,130870367,ABDPN,5,277,201328
432,130871126,OTHER,6,416,201328
433,130871883,MVAINJ,4,"1,072",201328
434,130872638,UNC,2,521,201328
435,130873387,ABDPN,5,700,201328
436,130880516,DIFFBR,2,418,201329
437,130881264,CARD,3,299,201329
438,130882023,DRUG,4,642,201329
439,130882786,INJURY,5,797,201329
440,130890045,CARD,3,370,201330
441,130890809,DRUG,4,611,201330
442,130891546,UNKNOW,4,218,201330
443,130892296,DIFFBR,2,390,201330
444,130893047,OTHER,6,452,201330
445,130900151,DRUG,4,537,201331
446,130900921,STATEP,2,481,201331
447,130901671,UNC,2,242,201331
448,130902414,SICK,4,659,201331
449,130903165,INJURY,5,883,201331
450,130910400,DIFFBR,2,563,201301
451,130911169,UNKNOW,4,,201301
452,130911918,INJURY,5,501,201301
453,130912679,DIFFBR,2,616,201301
454,130913433,SEIZR,3,393,201301
455,130920418,PEDSTR,3,297,201302
456,130921182,MVAINJ,4,288,201302
457,130921941,OTHER,6,809,201302
458,130922685,DIFFBR,2,651,201302
459,130930042,DRUG,4,408,201303
460,130930826,INJURY,5,447,201303
461,130931575,CVAC,2,435,201303
462,130932350,INJURY,5,"2,572",201303
463,130933093,UNC,2,231,201303
464,130940053,SICK,6,656,201304
465,130940811,OBLAB,5,484,201304
466,130941564,UNC,2,170,201304
467,130942324,INJURY,5,"2,032",201304
468,130943092,OTHER,6,187,201304
469,130943852,DRUG,4,455,201304
470,130950763,SICK,6,446,201305
471,130951507,CARD,3,516,201305
472,130952265,PEDSTR,3,176,201305
473,130953020,ASTHMB,2,211,201305
474,130953786,DRUG,4,204,201305
475,130960518,ABDPN,5,225,201306
476,130961295,INJURY,5,418,201306
477,130962104,UNKNOW,4,,201306
478,130962817,ABDPN,5,322,201306
479,130963597,UNC,2,688,201306
480,130970571,DIFFBR,2,428,201307
481,130971326,UNKNOW,4,435,201307
482,130972097,EDP,7,374,201307
483,130972852,SICK,6,857,201307
484,130973628,INJURY,5,729,201307
485,130980751,UNKNOW,4,985,201308
486,130981500,INJURY,5,642,201308
487,130982265,INJURY,5,216,201308
488,130983034,SICK,6,999,201308
489,130983783,DRUG,4,189,201308
490,130990419,DIFFBR,2,452,201309
491,130991174,SICK,6,,201309
492,130991942,UNC,2,753,201309
493,130992713,SICK,6,"1,751",201309
494,130993474,SICK,6,693,201309
495,131000091,EDP,7,395,201310
496,131000856,DRUG,4,441,201310
497,131001600,SICK,6,429,201310
498,131002388,CARD,3,694,201310
499,131003141,SICK,6,769,201310
500,131003898,UNC,2,744,201310
501,131010483,DRUG,4,,201311
502,131011261,INJMAJ,3,391,201311
503,131012021,ABDPN,5,"1,113",201311
504,131012793,EDP,7,891,201311
505,131013544,UNC,2,262,201311
506,131020450,OTHER,6,340,201312
507,131021218,INJURY,5,250,201312
508,131021976,RESPIR,4,384,201312
509,131022745,BURNMA,3,412,201312
510,131023510,DIFFBR,2,432,201312
511,131030313,SHOT,3,142,201313
512,131031087,EDP,7,620,201313
513,131031867,UNC,2,233,201313
514,131032633,STATEP,2,209,201313
515,131033386,SICK,6,541,201313
516,131040399,ARREST,1,514,201314
517,131041176,SICK,6,210,201314
518,131041932,MVAINJ,4,181,201314
519,131042671,DIFFBR,2,213,201314
520,131043427,UNKNOW,4,460,201314
521,131050580,SICMIN,7,"1,553",201315
522,131051320,SICK,6,"1,178",201315
523,131052092,CARD,3,452,201315
524,131052860,UNC,2,259,201315
525,131053625,SICK,6,524,201315
526,131060326,DRUG,4,,201316
527,131061096,ALTMEN,3,535,201316
528,131061834,EDP,7,648,201316
529,131062582,SICK,6,,201316
530,131063344,UNC,2,260,201316
531,131070232,UNKNOW,4,364,201317
532,131070984,ALTMEN,3,525,201317
533,131071730,INJURY,5,374,201317
534,131072505,SICK,6,"1,594",201317
535,131073262,INJURY,4,323,201317
536,131074022,EDP,7,760,201317
537,131080728,EDP,7,879,201318
538,131081473,INJMIN,7,"1,200",201318
539,131082225,SICK,6,485,201318
540,131082973,EDP,7,975,201318
541,131083722,SICK,6,"1,133",201318
542,131090661,SICK,6,338,201319
543,131091413,EDP,7,665,201319
544,131092160,INJURY,5,"3,353",201319
545,131092914,SICK,6,394,201319
546,131093691,EDP,7,350,201319
547,131100540,DRUG,4,380,201320
548,131101292,INJURY,5,268,201320
549,131102053,JUMPDN,2,564,201320
550,131102803,UNC,2,117,201320
551,131110031,ABDPN,5,393,201321
552,131110809,DIFFBR,2,259,201321
553,131111571,SICK,6,781,201321
554,131112330,INJURY,5,,201321
555,131113073,MVAINJ,4,332,201321
556,131120392,SEIZR,3,250,201322
557,131121149,SICK,6,481,201322
558,131121913,SICK,6,"2,004",201322
559,131122668,INJMAJ,3,367,201322
560,131123409,STATEP,2,741,201322
561,131130264,CARD,3,538,201323
562,131131024,INBLED,3,407,201323
563,131131760,INJURY,5,591,201323
564,131132536,SICK,6,427,201323
565,131133283,ABDPN,5,446,201323
566,131140374,MCI21P,2,152,201324
567,131141133,ABDPN,5,802,201324
568,131141879,SICK,6,"2,060",201324
569,131142650,INJURY,5,365,201324
570,131143407,UNC,2,326,201324
571,131150319,INJURY,5,307,201325
572,131151070,SICK,6,"1,277",201325
573,131151834,UNKNOW,4,428,201325
574,131152597,STNDBY,8,0,201325
575,131153354,DRUG,4,"1,144",201325
576,131160183,ABDPN,5,657,201326
577,131160936,SICK,6,"1,018",201326
578,131161683,MVAINJ,4,249,201326
579,131162454,DRUG,4,"1,584",201326
580,131163232,DRUG,4,314,201326
581,131170037,SICK,6,394,201327
582,131170805,MVAINJ,4,495,201327
583,131171577,ASTHMB,2,308,201327
584,131172337,INJURY,5,925,201327
585,131173087,UNC,2,294,201327
586,131180113,UNKNOW,4,"1,124",201328
587,131180899,SEIZR,3,301,201328
588,131181650,INJURY,5,597,201328
589,131182388,SICK,6,257,201328
590,131183150,DRUG,4,887,201328
591,131190375,INJURY,5,627,201329
592,131191178,INJURY,5,434,201329
593,131191899,SICK,6,"1,273",201329
594,131192660,EDP,7,"1,843",201329
595,131193404,INJURY,5,527,201329
596,131200295,INJURY,5,721,201330
597,131201059,CARD,3,,201330
598,131201803,DIFFBR,2,424,201330
599,131202570,UNKNOW,4,374,201330
600,131203334,INJURY,5,234,201330
601,131210370,PEDSTR,3,270,201301
602,131211132,DRUG,4,315,201301
603,131211872,SICK,6,471,201301
604,131212634,SICK,6,"2,931",201301
605,131213399,SICK,6,480,201301
606,131220322,INJMIN,7,704,201302
607,131221085,SICK,6,535,201302
608,131221833,UNKNOW,4,,201302
609,131222604,EDP,7,"2,820",201302
610,131223653,SICK,6,824,201302
611,131230032,SICK,6,384,201303
612,131230783,SICK,6,,201303
613,131231525,DRUG,4,425,201303
614,131232304,INJURY,5,958,201303
615,131233054,EDP,7,,201303
616,131234115,INJURY,5,954,201303
617,131240404,INJURY,5,202,201304
618,131241187,SICK,6,103,201304
619,131241941,INJURY,5,821,201304
620,131242699,INJURY,5,"1,078",201304
621,131243445,UNC,2,195,201304
622,131250326,CARD,3,131,201305
623,131251116,SEIZR,3,303,201305
624,131251859,DRUG,4,233,201305
625,131252641,EDP,7,388,201305
626,131253389,EDP,7,523,201305
627,131260200,SICK,6,347,201306
628,131260947,DIFFBR,2,276,201306
629,131261695,DIFFBR,2,407,201306
630,131262461,MVAINJ,4,787,201306
631,131263234,DIFFBR,2,582,201306
632,131263990,EDP,7,"2,910",201306
633,131270439,SICK,6,535,201307
634,131271212,INJURY,5,463,201307
635,131271972,DIFFBR,2,698,201307
636,131272741,ARREST,1,227,201307
637,131273502,EDP,7,974,201307
638,131280165,CARD,3,551,201308
639,131280931,ALTMEN,3,753,201308
640,131281677,SICK,6,"3,166",201308
641,131282450,DIFFBR,2,783,201308
642,131283198,EDP,7,547,201308
643,131283974,CARD,3,662,201308
644,131290718,MVAINJ,4,192,201309
645,131291479,INJURY,5,255,201309
646,131292232,UNKNOW,4,607,201309
647,131292976,SICK,6,631,201309
648,131293719,SICK,6,685,201309
649,131300528,DIFFBR,2,334,201310
650,131301293,SICK,6,355,201310
651,131302054,SICK,6,"5,212",201310
652,131302826,OBLAB,5,"1,141",201310
653,131303587,INBLED,3,376,201310
654,131304348,OTHER,6,429,201310
655,131310445,DIFFBR,2,287,201311
656,131311224,DRUG,4,357,201311
657,131311992,EDP,7,"1,499",201311
658,131312757,DIFFBR,2,348,201311
659,131313508,SICK,6,"2,634",201311
660,131320293,EDP,7,535,201312
661,131321064,DIFFBR,2,340,201312
662,131321807,INJURY,5,398,201312
663,131322575,MVAINJ,4,94,201312
664,131323341,INJURY,5,444,201312
665,131330226,OBMIS,4,515,201313
666,131330987,DIFFBR,2,524,201313
667,131331731,EDP,7,684,201313
668,131332500,SICK,6,956,201313
669,131333246,EDP,7,429,201313
670,131333985,INBLED,3,300,201313
671,131340698,MVAINJ,4,331,201314
672,131341429,INBLED,3,597,201314
673,131342186,INJURY,5,"1,545",201314
674,131342954,DRUG,4,486,201314
675,131343706,DRUG,4,501,201314
676,131350631,SICK,6,479,201315
677,131351374,EDP,7,411,201315
678,131352126,INJMIN,7,"5,846",201315
679,131352906,OTHER,6,,201315
680,131353660,SICK,6,963,201315
681,131360305,DIFFBR,2,302,201316
682,131361055,STAB,3,173,201316
683,131361806,CARD,3,150,201316
684,131362576,INJURY,5,577,201316
685,131363327,ARREST,1,254,201316
686,131364113,PEDSTR,3,198,201316
687,131370609,UNKNOW,4,,201317
688,131371356,INBLED,3,191,201317
689,131372119,SICK,4,"4,004",201317
690,131372892,SICK,6,452,201317
691,131373648,DRUG,4,417,201317
692,131380063,UNC,2,196,201318
693,131380820,EDP,7,381,201318
694,131381585,INJURY,5,340,201318
695,131382353,MVAINJ,4,244,201318
696,131383107,EDP,7,652,201318
697,131383867,UNKNOW,4,515,201318
698,131390709,INJURY,5,322,201319
699,131391455,DIFFBR,2,213,201319
700,131392213,INJURY,5,381,201319
701,131392970,DIFFBR,2,466,201319
702,131400244,SICK,6,595,201320
703,131400999,UNC,2,417,201320
704,131401736,SICK,6,294,201320
705,131402514,SEIZR,3,456,201320
706,131403296,PEDSTR,3,707,201320
707,131404056,SICK,6,686,201320
708,131410294,DIFFBR,2,,201321
709,131411113,ASTHMB,2,279,201321
710,131411857,INJURY,5,"1,344",201321
711,131412625,INJMIN,7,"3,041",201321
712,131413404,RESPIR,4,999,201321
713,131414160,SICK,6,153,201321
714,131420375,SICMIN,7,560,201322
715,131421117,SICK,6,880,201322
716,131421873,INJURY,5,"1,221",201322
717,131422643,INJURY,5,"1,211",201322
718,131423409,INJURY,5,759,201322
719,131430107,SICPED,4,"1,266",201323
720,131430860,INJURY,5,55,201323
721,131431597,AMPMAJ,3,358,201323
722,131432369,EDP,7,949,201323
723,131433144,DRUG,4,"1,547",201323
724,131433926,UNKNOW,4,456,201323
725,131440486,UNKNOW,4,610,201324
726,131441239,SICPED,4,396,201324
727,131441998,ALTMEN,3,373,201324
728,131442769,INJURY,5,"3,058",201324
729,131443524,UNC,2,452,201324
730,131450409,EDP,7,"1,215",201325
731,131451177,CARD,3,80,201325
732,131451934,SEIZR,3,161,201325
733,131452688,UNC,2,320,201325
734,131453445,UNC,2,175,201325
735,131460711,SICK,6,436,201326
736,131461466,EDP,7,596,201326
737,131462212,STATEP,2,444,201326
738,131462968,RESPIR,4,375,201326
739,131470113,DRUG,4,433,201327
740,131470895,DIFFBR,2,283,201327
741,131471649,ABDPN,5,260,201327
742,131472425,INJURY,5,368,201327
743,131473191,DRUG,4,239,201327
744,131480156,SICK,6,737,201328
745,131480915,SICK,6,592,201328
746,131481666,EDP,7,"1,237",201328
